time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,school_phase,NC_year_admission,admission_numbers,applications_received,online_applications,online_apps_percent,no_of_preferences,first_preference_offers,first_preference_offers_percent,second_preference_offers,second_preference_offers_percent,third_preference_offers,third_preference_offers_percent,one_of_the_three_preference_offers,one_of_the_three_preference_offers_percent,preferred_school_offer,preferred_school_offer_percent,non_preferred_offer,non_preferred_offer_percent,no_offer,no_offer_percent,schools_in_la_offer,schools_in_la_offer_percent,schools_in_another_la_offer,schools_in_another_la_offer_percent,offers_to_nonapplicants
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000004,303,Bexley,Primary,R,3400,3219,2284,70.95371233,6,2745,85.2749301,230,7.145076111,90,2.795899348,3065,95.21590556,3120,96.92451072,99,3.075489282,0,0,3086,95.86828208,133,4.131717925,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000005,304,Brent,Primary,R,4173,3911,3507,89.67016108,6,3146,80.43978522,372,9.511633853,123,3.14497571,3641,93.09639478,3714,94.96292508,197,5.037074917,0,0,3558,90.9741754,353,9.025824597,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000006,305,Bromley,Primary,R,4262,3979,3791,95.27519477,6,3293,82.75948731,326,8.19301332,125,3.141492837,3744,94.09399347,3876,97.4114099,101,2.538326213,2,0.050263885,3865,97.18380689,112,2.81619311,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000008,306,Croydon,Primary,R,5418,4901,4886,99.69394001,6,4029,82.20771271,412,8.406447664,176,3.591103856,4617,94.20526423,4753,96.98020812,147,2.99938788,1,0.020403999,4572,93.30612245,328,6.693877551,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000009,307,Ealing,Primary,R,4800,4503,3964,88.03020209,6,3733,82.9002887,376,8.349988896,138,3.064623584,4247,94.31490118,4348,96.55785032,143,3.175660671,12,0.266489007,4259,94.83411267,232,5.16588733,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000010,308,Enfield,Primary,R,4939,4559,3804,83.43935073,6,3895,85.4354025,315,6.909409958,113,2.478613731,4323,94.82342619,4420,96.95108576,138,3.026979601,1,0.021934635,4301,94.36156209,257,5.638437911,0
201516,Academic year,Local authority,E92000001,England,E12000007,INNER LONDON,E09000014,309,Haringey,Primary,R,3350,2936,2439,83.07220708,6,2474,84.26430518,203,6.914168937,73,2.486376022,2750,93.66485014,2832,96.45776567,104,3.542234332,0,0,2738,93.25613079,198,6.74386921,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000015,310,Harrow,Primary,R,3330,3126,3013,96.38515675,6,2508,80.2303263,306,9.788867562,104,3.326935381,2918,93.34612924,3000,95.96928983,126,4.030710173,0,0,2937,93.95393474,189,6.046065259,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000016,311,Havering,Primary,R,3350,3076,3073,99.90247074,6,2662,86.54096229,208,6.762028609,66,2.145643693,2936,95.44863459,2969,96.52145644,105,3.413524057,2,0.065019506,2972,96.68184776,102,3.318152245,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000017,312,Hillingdon,Primary,R,4521,4119,3797,92.18256858,6,3616,87.78829813,299,7.259043457,135,3.277494538,4050,98.32483613,4113,99.85433358,0,0,6,0.145666424,3908,95.01580355,205,4.98419645,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000018,313,Hounslow,Primary,R,3494,3568,2276,63.78923767,6,2802,78.53139013,386,10.81838565,151,4.23206278,3339,93.58183857,3461,97.00112108,107,2.998878924,0,0,3281,91.95627803,287,8.043721973,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000021,314,Kingston upon Thames,Primary,R,2007,2022,1888,93.37289812,6,1658,81.99802176,155,7.665677547,51,2.522255193,1864,92.1859545,1918,94.85657765,78,3.857566766,26,1.285855589,1903,95.34068136,93,4.659318637,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000024,315,Merton,Primary,R,2790,2755,2480,90.01814882,6,2242,81.37931034,193,7.005444646,84,3.049001815,2519,91.43375681,2597,94.26497278,158,5.735027223,0,0,2543,92.30490018,212,7.695099819,0
201516,Academic year,Local authority,E92000001,England,E12000007,INNER LONDON,E09000025,316,Newham,Primary,R,5365,4809,2246,46.70409649,6,4181,86.94115201,323,6.716573092,116,2.412143897,4620,96.069869,4674,97.19276357,135,2.807236432,0,0,4725,98.25327511,84,1.746724891,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000026,317,Redbridge,Primary,R,4346,3928,3844,97.86150713,6,3365,85.66700611,275,7.00101833,89,2.265784114,3729,94.93380855,3801,96.76680244,106,2.698574338,21,0.534623218,3764,96.33990274,143,3.660097261,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000027,318,Richmond upon Thames,Primary,R,2572,2471,2359,95.4674221,6,2005,81.14123837,167,6.75839741,65,2.630513962,2237,90.53014974,2298,92.99878592,59,2.387697289,114,4.613516795,2315,98.21807382,42,1.781926177,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000029,319,Sutton,Primary,R,2599,2680,2566,95.74626866,6,2251,83.99253731,207,7.723880597,73,2.723880597,2531,94.44029851,2593,96.75373134,82,3.059701493,5,0.186567164,2429,90.80373832,246,9.196261682,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000031,320,Waltham Forest,Primary,R,3990,3620,3010,83.14917127,6,3088,85.3038674,281,7.762430939,111,3.066298343,3480,96.13259669,3524,97.3480663,96,2.651933702,0,0,3504,96.79558011,116,3.20441989,0
201516,Academic year,Local authority,E92000001,England,E12000005,WEST MIDLANDS,E08000025,330,Birmingham,Primary,R,16268,15414,11860,76.9430388,3,13108,85.03957441,1095,7.103931491,432,2.802646944,14635,94.94615285,14635,94.94615285,742,4.813805631,37,0.240041521,14851,96.57930676,526,3.420693243,0
201516,Academic year,Local authority,E92000001,England,E12000005,WEST MIDLANDS,E08000026,331,Coventry,Primary,R,4840,4459,2725,61.11235703,3,4017,90.08746356,288,6.458847275,69,1.54743216,4374,98.09374299,4374,98.09374299,85,1.906257008,0,0,4375,98.0941704,85,1.905829596,1
201516,Academic year,Local authority,E92000001,England,E12000005,WEST MIDLANDS,E08000027,332,Dudley,Primary,R,4074,3748,3301,88.07363927,5,3355,89.51440768,211,5.629669157,67,1.787620064,3633,96.93169691,3655,97.51867663,93,2.481323372,0,0,3608,96.08521971,147,3.914780293,7
201516,Academic year,Local authority,E92000001,England,E12000005,WEST MIDLANDS,E08000028,333,Sandwell,Primary,R,5008,4313,4144,96.08161373,6,3915,90.7720844,199,4.613957802,63,1.460700209,4177,96.84674241,4194,97.24089961,119,2.759100394,0,0,4069,94.34268491,244,5.657315094,0
201516,Academic year,Local authority,E92000001,England,E12000005,WEST MIDLANDS,E08000029,334,Solihull,Primary,R,2843,2566,2467,96.14185503,4,2243,87.41231489,156,6.079501169,47,1.831644583,2446,95.32346064,2467,96.14185503,98,3.819173811,1,0.038971161,2488,96.99805068,77,3.001949318,0
201516,Academic year,Local authority,E92000001,England,E12000005,WEST MIDLANDS,E08000030,335,Walsall,Primary,R,3780,3485,3444,98.82352941,3,3124,89.64131994,185,5.308464849,37,1.06169297,3346,96.01147776,3346,96.01147776,73,2.094691535,66,1.893830703,3275,95.78824218,144,4.211757824,0
201516,Academic year,Local authority,E92000001,England,E12000005,WEST MIDLANDS,E08000031,336,Wolverhampton,Primary,R,3590,3333,1394,41.82418242,5,2963,88.89888989,215,6.450645065,46,1.380138014,3224,96.72967297,3235,97.05970597,98,2.940294029,0,0,3183,95.49954995,150,4.500450045,0
201516,Academic year,Local authority,E92000001,England,E12000002,NORTH WEST,E08000011,340,Knowsley,Primary,R,1990,1770,705,39.83050847,3,1589,89.7740113,79,4.463276836,31,1.751412429,1699,95.98870056,1699,95.98870056,71,4.011299435,0,0,1558,88.02259887,212,11.97740113,0
