"URN","LA (code)","EstablishmentNumber","EstablishmentName","EstablishmentTypeGroup (name)","PhaseOfEducation (name)","ReligiousCharacter (name)","PercentageFSM","DistrictAdministrative (name)","OfstedRating (name)"
134652,"850","3199","Chiltern Primary School","Local authority maintained schools","Primary","Does not apply","26.8","Basingstoke and Deane","Good"
134732,"936","3937","Manorfield Primary and Nursery School","Local authority maintained schools","Primary","Does not apply","28.7","Reigate and Banstead","Good"
134734,"850","3667","Cadland Primary School","Local authority maintained schools","Primary","Does not apply","33.2","New Forest","Good"
134945,"850","3668","Romsey Primary School","Local authority maintained schools","Primary","Does not apply","13.5","Test Valley","Good"
135009,"936","3940","Leatherhead Trinity School and Nursery","Local authority maintained schools","Primary","Church of England/Methodist","31.4","Mole Valley","Good"
135237,"936","3941","Buckland Primary School","Local authority maintained schools","Primary","Does not apply","22.6","Spelthorne","Good"
135529,"850","3670","Woodcroft Primary","Local authority maintained schools","Primary","Does not apply","47.3","Havant","Good"
135566,"936","3944","Cranleigh Church of England Primary School","Local authority maintained schools","Primary","Church of England","15","Waverley","Good"
135885,"850","3671","Cranford Park Primary","Local authority maintained schools","Primary","Church of England","12.8","Hart","Good"
135887,"850","3672","Endeavour Primary School","Local authority maintained schools","Primary","Does not apply","20.9","Test Valley","Good"
136078,"850","2107","Barncroft Primary School","Local authority maintained schools","Primary","Does not apply","29.1","Havant","Good"
136338,"936","5221","Cleves School","Academies","Primary","None","4.2","Elmbridge",""
136407,"850","3673","Pilgrims' Cross CofE Aided Primary School","Local authority maintained schools","Primary","None","13.1","Test Valley","Requires improvement"
136447,"850","5201","The Priory Primary School","Academies","Primary","None","1.1","Basingstoke and Deane","Good"
136755,"936","2001","Pewley Down Infant School","Local authority maintained schools","Primary","Church of England","5.6","Guildford","Outstanding"
136888,"936","2479","South Farnham School","Academies","Primary","Does not apply","2.6","Waverley","Outstanding"
137014,"936","2309","The Raleigh School","Academies","Primary","Does not apply","2.8","Guildford","Outstanding"
137403,"850","3662","St Anthony's Catholic Primary School","Academies","Primary","Roman Catholic","2.8","Fareham","Good"
137422,"850","5204","St Joseph's Catholic Primary School","Academies","Primary","Roman Catholic","4.7","Rushmoor","Outstanding"
137693,"850","3017","Bransgore Church of England Primary School","Academies","Primary","Church of England","7.9","New Forest",""
137850,"936","2943","Goldsworth Primary School","Academies","Primary","Does not apply","6.2","Woking",""
138139,"850","2010","Wellington Community Primary School","Local authority maintained schools","Primary","Does not apply","17.6","Rushmoor","Outstanding"
138226,"936","2006","Cobham Free School","Free Schools","All-through","Does not apply","8.3","Elmbridge","Good"
138242,"850","2042","Manor Church of England Infant School","Local authority maintained schools","Primary","Church of England","17.3","New Forest","Good"
138719,"850","3079","Hook-With-Warsash Church of England Academy","Academies","Primary","Church of England","4.1","Fareham","Good"
138764,"936","2092","Danetree Primary School","Academies","Primary","Does not apply","11.7","Epsom and Ewell","Outstanding"
139070,"936","2011","Weyfield Academy","Academies","Primary","Does not apply","41","Guildford","Requires improvement"
139273,"850","2029","Front Lawn Primary Academy","Academies","Primary","None","38.2","Havant","Good"
139479,"936","2926","Broadmere Primary Academy","Academies","Primary","Does not apply","32.3","Woking","Good"
139548,"850","2031","Cornerstone CofE (VA) Primary School","Local authority maintained schools","Primary","Church of England","5.9","Winchester","Good"
139557,"936","2014","Lime Tree Primary School","Academies","Primary","Does not apply","10.5","Reigate and Banstead","Good"
139721,"936","2016","St John's Church of England Primary School","Academies","Primary","Church of England","27.3","Mole Valley","Good"
139890,"936","2492","New Monument Primary Academy","Academies","Primary","Does not apply","14.5","Woking","Good"
139915,"936","2017","Marden Lodge Primary School and Nursery","Academies","Primary","Does not apply","16.2","Tandridge","Good"
139916,"936","2018","Warlingham Village Primary School","Academies","Primary","Does not apply","15.8","Tandridge","Outstanding"
139920,"850","2032","The Holme Church of England Primary School","Academies","Primary","Church of England","16.8","East Hampshire","Good"
139944,"850","2037","Frogmore Junior School","Academies","Primary","Does not apply","14.2","Hart","Good"
139951,"936","2019","Pyrcroft Grange Primary School","Academies","Primary","Does not apply","21.7","Runnymede","Outstanding"
140026,"936","2020","St Mary's Church of England Primary School","Academies","Primary","Church of England","4.2","Waverley","Good"
140028,"936","2021","St Paul's CofE Primary School","Academies","Primary","Church of England","22.1","Runnymede","Good"
140034,"936","2022","The Echelford Primary School","Academies","Primary","Does not apply","11.6","Spelthorne","Good"
140057,"936","2374","Boxgrove Primary School","Academies","Primary","Does not apply","3.6","Guildford","Good"
140084,"936","2489","The Horsell Village School","Academies","Primary","Does not apply","4.9","Woking",""
140090,"936","2373","The Oaktree School","Academies","Primary","Does not apply","9.8","Woking",""
140098,"850","3365","Milford-on-Sea Church of England Primary School","Academies","Primary","Church of England","5.1","New Forest",""
140203,"936","6572","Peaslake Free School","Free Schools","Primary","None","3.2","Guildford","Good"
140211,"850","2038","Berewood Primary School","Academies","Primary","None","21.9","Winchester","Good"
140250,"936","2932","Saxon Primary School","Academies","Primary","Does not apply","10.9","Spelthorne","Good"
140256,"936","2440","Connaught Junior School","Academies","Primary","Does not apply","4.7","Surrey Heath","Good"
140339,"936","2023","St John's Primary School","Academies","Primary","Does not apply","21.8","Woking","Good"
140348,"936","2024","Kenyngton Manor Primary School","Academies","Primary","Does not apply","30.9","Spelthorne","Good"
140349,"936","2027","Cordwalles Junior School","Academies","Primary","Does not apply","25.6","Surrey Heath","Good"
140350,"936","2028","Springfield Primary School","Academies","Primary","Does not apply","20.5","Spelthorne","Good"
140508,"936","2942","Beaufort Primary School","Academies","Primary","Does not apply","10.6","Woking","Good"
140509,"936","2496","Sythwood Primary School","Academies","Primary","Does not apply","21.1","Woking","Good"
140540,"936","3942","Barnsbury Primary School and Nursery","Academies","Primary","Does not apply","9.7","Woking","Good"
140594,"936","2341","The Hermitage School","Academies","Primary","Does not apply","11.3","Woking","Good"
140690,"850","2039","The Cambridge Primary School","Academies","Primary","None","13.3","Rushmoor",""
140808,"936","2005","Banstead Infant School","Academies","Primary","Does not apply","10.1","Reigate and Banstead","Good"
140810,"936","2010","Warren Mead Junior School","Academies","Primary","Does not apply","3.7","Reigate and Banstead","Good"
140860,"936","2029","Sayes Court School","Academies","Primary","None","19.8","Runnymede","Good"
140876,"936","2058","New Haw Community Junior School","Academies","Primary","Does not apply","6.8","Runnymede",""
140880,"936","2947","Hillcroft Primary School","Academies","Primary","Does not apply","13.9","Tandridge","Good"
140929,"936","3934","Pyrford Church of England Primary School","Academies","Primary","Church of England","4.3","Woking",""
141036,"936","2030","Trinity Oaks Church of England Primary School","Local authority maintained schools","Primary","Church of England","5","Reigate and Banstead","Good"
141197,"936","2031","Sandfield Primary School","Academies","Primary","Does not apply","7.1","Guildford","Good"
141294,"936","3930","Ashley Church of England Primary School","Academies","Primary","Church of England","2.5","Elmbridge",""
141347,"936","2032","St Lawrence Primary School","Academies","Primary","Does not apply","14","Guildford","Good"
141446,"936","3353","Queen Eleanor's Church of England School","Academies","Primary","Church of England","9.1","Guildford","Good"
141447,"936","2355","Cuddington Croft Primary School","Academies","Primary","Does not apply","1.8","Sutton","Good"
141473,"850","2077","Fawley Infant School","Academies","Primary","Does not apply","32","New Forest","Good"
141474,"850","5205","Blackfield Primary School","Academies","Primary","None","27.3","New Forest","Good"
141592,"936","2436","Ravenscote Junior School","Academies","Primary","Does not apply","5.6","Surrey Heath",""
141593,"936","5215","Whyteleafe Primary School","Academies","Primary","None","9.1","Tandridge","Good"
141667,"936","2033","Highfield South Farnham School","Academies","Primary","Does not apply","13.3","Waverley","Outstanding"
141733,"936","3337","Esher Church School","Academies","Primary","Church of England","1.3","Elmbridge","Good"
142019,"936","2034","Salfords Primary School","Academies","Primary","Does not apply","21.1","Reigate and Banstead","Requires improvement"
142083,"936","2035","The Weald CofE Primary School","Academies","Primary","Church of England","11.2","Mole Valley","Serious Weaknesses"
142084,"936","2036","Brookwood Primary School","Academies","Primary","Does not apply","8.9","Woking","Good"
142345,"936","2501","Cross Farm Infant Academy","Academies","Primary","Does not apply","11.7","Surrey Heath",""
142356,"936","2376","Mytchett Primary & Nursery Academy","Academies","Primary","Does not apply","7.9","Surrey Heath","Good"
142366,"936","2913","Sandringham Infant & Nursery Academy","Academies","Primary","Does not apply","6.1","Surrey Heath","Good"
142380,"936","2955","The Grove Primary Academy","Academies","Primary","Does not apply","9","Surrey Heath","Good"
142415,"936","2956","Lakeside Nursery & Primary Academy","Academies","Primary","Does not apply","12.3","Surrey Heath","Good"
142426,"936","2918","Hammond School","Academies","Primary","Does not apply","1.2","Surrey Heath","Good"
142433,"936","2269","Lightwater Village School","Academies","Primary","Does not apply","4.1","Surrey Heath",""
142998,"936","2401","Eastwick Infant School","Academies","Primary","Does not apply","6.3","Mole Valley","Good"
142999,"936","2313","Eastwick Junior School","Academies","Primary","Does not apply","3.1","Mole Valley","Good"
143000,"936","2095","Cuddington Community Primary School","Academies","Primary","Does not apply","10.1","Epsom and Ewell","Good"
143001,"936","2381","Wallace Fields Infant School and Nursery","Academies","Primary","Does not apply","2.8","Epsom and Ewell",""
143364,"936","3919","Cardinal Newman Catholic Primary School","Academies","Primary","Roman Catholic","3.2","Elmbridge","Good"
143365,"936","3922","St Anne's Catholic Primary School","Academies","Primary","Roman Catholic","8.5","Runnymede","Good"
143366,"936","3921","St Alban's Catholic Primary School","Academies","Primary","Roman Catholic","2.2","Elmbridge","Good"
143368,"936","3441","Holy Family Catholic Primary School","Academies","Primary","Roman Catholic","5.5","Runnymede","Good"
143370,"936","3488","St Hugh of Lincoln Catholic Primary School","Academies","Primary","Roman Catholic","1.4","Woking","Good"
143371,"936","2880","Riverbridge Primary School","Academies","Primary","Does not apply","16.6","Spelthorne","Good"
143372,"936","3918","St Charles Borromeo Catholic Primary School, Weybridge","Academies","Primary","Roman Catholic","2.4","Elmbridge",""
143373,"936","2963","Guildford Grove Primary School","Academies","Primary","Does not apply","31.3","Guildford","Good"
143374,"936","3933","St Augustine's Catholic Primary School","Academies","Primary","Roman Catholic","3.5","Surrey Heath",""
143625,"936","3939","Loseley Fields Primary School","Academies","Primary","None","17.1","Waverley","Requires improvement"
143626,"936","3059","St Andrew's CofE Primary School","Academies","Primary","Church of England","18.2","Elmbridge","Good"
143627,"936","3587","Waverley Abbey CofE Junior School","Academies","Primary","Church of England","3.2","Waverley","Good"
143809,"936","2403","Holly Lodge Primary Academy","Academies","Primary","Does not apply","7.7","Guildford","Good"
143989,"936","2292","Lorraine Infant School","Academies","Primary","Does not apply","15.7","Surrey Heath","Good"
143995,"936","2444","Pine Ridge Infant School","Academies","Primary","Does not apply","11.5","Surrey Heath","Good"
144001,"936","3936","Stanwell Fields CofE Primary School","Academies","Primary","Church of England","18.9","Spelthorne","Good"
144093,"850","2631","Gomer Junior School","Academies","Primary","Does not apply","7.4","Gosport","Good"
144229,"936","2026","Bletchingley Village Primary School","Academies","Primary","Does not apply","19.8","Tandridge","Good"
144230,"936","2050","Hamsey Green Primary","Academies","Primary","Does not apply","15.4","Tandridge","Good"
144231,"936","2253","Tatsfield Primary School","Academies","Primary","Does not apply","7","Tandridge",""
144232,"936","5219","Woodlea Primary School","Academies","Primary","None","4.4","Tandridge","Good"
144330,"936","3024","St Andrew's Church of England Infant School","Academies","Primary","Church of England","9.1","Waverley","Good"
144387,"936","2090","Auriol Junior School","Academies","Primary","Does not apply","5","Epsom and Ewell","Good"
144697,"936","2211","Merstham Primary School","Academies","Primary","Does not apply","9.5","Reigate and Banstead",""
144882,"850","2045","Sun Hill Junior School","Academies","Primary","Does not apply","7.7","Winchester",""
144899,"850","2522","Farnborough Grange Nursery & Infant Community School","Academies","Primary","Does not apply","20.2","Rushmoor",""
144938,"936","2931","Sandcross Primary School","Academies","Primary","Does not apply","15.5","Reigate and Banstead",""
144939,"936","3351","St Stephen's CofE Primary School","Academies","Primary","Church of England","14.5","Tandridge",""
144994,"936","2039","St Matthew's CofE Primary School","Academies","Primary","Church of England","22","Reigate and Banstead",""
145102,"936","3458","The Marist Catholic Primary School","Academies","Primary","Roman Catholic","2.2","Woking",""
145205,"936","2316","Dovers Green School","Academies","Primary","Does not apply","14.5","Reigate and Banstead",""
145213,"936","2210","Holmesdale Community Infant School","Academies","Primary","Does not apply","1.1","Reigate and Banstead",""
145226,"936","2953","Wray Common Primary School","Academies","Primary","Does not apply","10.9","Reigate and Banstead",""
145278,"936","3062","Potters Gate CofE Primary School","Academies","Primary","Church of England","8.2","Waverley",""
145279,"936","2336","South Camberley Primary and Nursery School","Academies","Primary","Does not apply","13.9","Surrey Heath",""
145542,"936","2941","Westfield Primary School","Academies","Primary","Does not apply","24","Woking",""
145543,"936","2004","Wyke Primary Academy","Academies","Primary","Does not apply","8.3","Guildford",""
145700,"936","3014","Holy Trinity CofE Primary School","Academies","Primary","Church of England","2.6","Surrey Heath",""
145701,"936","2267","Windlesham Village Infant School","Academies","Primary","Does not apply","4.2","Surrey Heath",""
145702,"936","2419","Crawley Ridge Infant School","Academies","Primary","Does not apply","6.9","Surrey Heath",""
145703,"936","2476","Crawley Ridge Junior School","Academies","Primary","Does not apply","5.3","Surrey Heath",""
145796,"936","3943","Meadow Primary School","Academies","Primary","Does not apply","4.4","Epsom and Ewell",""
145797,"936","2093","West Ewell Primary School and Nursery","Academies","Primary","Does not apply","12.4","Epsom and Ewell",""
145887,"936","2040","Hatchlands Primary","Free Schools","Primary","None","8.9","Reigate and Banstead",""
146002,"850","2021","Bordon Junior School","Academies","Primary","Does not apply","16.8","East Hampshire",""
146022,"936","2229","Shalford Infant School","Academies","Primary","Does not apply","3.5","Guildford",""
146023,"936","2391","Pirbright Village Primary School","Academies","Primary","Does not apply","6","Guildford",""
146024,"936","2961","The Vale Primary School","Academies","Primary","Does not apply","15.6","Epsom and Ewell",""
146025,"936","5212","Northmead Junior School","Academies","Primary","None","13.4","Guildford",""
146244,"850","2616","Rowner Junior","Academies","Primary","Does not apply","29.8","Gosport",""
146259,"936","2133","Stoughton Infant School","Academies","Primary","Does not apply","9.9","Guildford",""
146264,"936","2041","Meadhurst Primary School","Academies","Primary","Does not apply","15.2","Spelthorne",""
146419,"936","3012","Ottershaw Christchurch Church of England Junior School","Academies","Primary","Church of England","9.6","Runnymede",""
146420,"936","3052","Ottershaw Christ Church Church of England Infant School","Academies","Primary","Church of England","10.6","Runnymede",""
146438,"936","2042","Surrey Hills All Saints Primary School","Academies","Primary","Church of England","6.6","Mole Valley",""
146573,"936","3475","St Cuthbert Mayne Catholic Primary School","Academies","Primary","Roman Catholic","4.2","Waverley",""
146661,"936","2214","St John's Primary School","Academies","Primary","Does not apply","7.2","Reigate and Banstead",""
146682,"936","3935","Walton Oak Primary School","Academies","Primary","Does not apply","24.3","Elmbridge",""
146781,"936","2043","St Mark and All Saints Church of England Primary","Academies","Primary","Church of England","33.3","Waverley",""
146846,"936","2362","Warren Mead Infant School","Academies","Primary","Does not apply","5.4","Reigate and Banstead",""
146917,"936","2275","Maybury Primary School","Academies","Primary","Does not apply","16.1","Woking",""
146975,"936","2957","Hale Nursery & Primary Academy","Academies","Primary","Does not apply","15.5","Waverley",""
147021,"850","2048","Oakfield Primary School","Academies","Primary","Does not apply","23.4","New Forest",""
147066,"850","2050","Boorley Park","Free Schools","Primary","Does not apply","6.7","Eastleigh",""
147128,"850","2735","Fernhill Primary Academy","Academies","Primary","Does not apply","32.5","Rushmoor",""
147257,"936","2013","Woodmansterne Primary School","Academies","Primary","Does not apply","9.7","Reigate and Banstead",""
147427,"936","2274","Knaphill School","Academies","Primary","Does not apply","","Woking",""
147428,"936","2406","The Knaphill Lower School","Academies","Primary","Does not apply","","Woking",""
147429,"936","3424","St Polycarp's Catholic Primary School","Academies","Primary","Roman Catholic","1.7","Waverley",""
147431,"936","5209","St Thomas of Canterbury Catholic Primary School","Academies","Primary","Roman Catholic","4.3","Guildford",""
147510,"936","2100","Hinchley Wood Primary School","Academies","Primary","Does not apply","5.4","Elmbridge",""
147519,"850","2052","St Anne's Catholic Primary School","Academies","Primary","Roman Catholic","8.8","Basingstoke and Deane",""
147671,"936","2271","Byfleet Primary School","Academies","Primary","Does not apply","","Woking",""
147678,"936","2044","Darley Dene Primary School","Academies","Primary","Does not apply","","Runnymede",""
147701,"850","2058","St Columba CE Primary School","Academies","Primary","Church of England","21.8","Fareham",""
147836,"850","2059","Barton Farm Primary Academy","Free Schools","Primary","None","","Winchester",""
147852,"850","2060","Stoneham Park Academy","Free Schools","Primary","None","","Eastleigh",""
147856,"936","2052","Westvale Park Primary Academy","Free Schools","Primary","None","","Reigate and Banstead",""
148169,"936","2933","Kingfield Primary School","Academies","Primary","Does not apply","","Woking",""
148213,"850","2006","Awbridge Primary School","Academies","Primary","Does not apply","","Test Valley",""
148214,"850","2202","Wellow Primary School","Academies","Primary","Does not apply","","Test Valley",""
148215,"850","2288","Weyford Nursery and Primary Academy","Academies","Primary","Does not apply","","East Hampshire",""
148216,"850","2312","Halterworth Primary School","Academies","Primary","Does not apply","","Test Valley",""
148385,"850","2064","Marnel Junior School","Academies","Primary","Does not apply","","Basingstoke and Deane",""
148435,"936","3049","Frimley CofE Junior School","Academies","Primary","Church of England","","Surrey Heath",""
148510,"936","3462","St Edmund's Catholic Primary School","Academies","Primary","Roman Catholic","","Waverley",""
