"URN","LA (code)","EstablishmentNumber","EstablishmentName","EstablishmentTypeGroup (name)","PhaseOfEducation (name)","ReligiousCharacter (name)","PercentageFSM","DistrictAdministrative (name)","OfstedRating (name)"
116054,"850","2339","Velmead Junior School","Local authority maintained schools","Primary","Does not apply","3.3","Hart","Good"
116055,"850","2341","Manor Field Infant School","Local authority maintained schools","Primary","Does not apply","32.3","Basingstoke and Deane","Good"
116056,"850","2342","Liphook Infant School","Local authority maintained schools","Primary","Does not apply","9.2","East Hampshire","Good"
116057,"850","2344","Chalk Ridge Primary School","Local authority maintained schools","Primary","Does not apply","13.7","Basingstoke and Deane","Good"
116058,"850","2345","Crofton Hammond Junior School","Local authority maintained schools","Primary","Does not apply","5.3","Fareham","Outstanding"
116059,"850","2346","Potley Hill Primary School","Local authority maintained schools","Primary","Does not apply","6.9","Hart","Good"
116060,"850","2347","Kings Copse Primary School","Local authority maintained schools","Primary","Does not apply","7.1","Eastleigh","Good"
116061,"850","2348","Netley Abbey Junior School","Local authority maintained schools","Primary","Does not apply","16.5","Eastleigh","Good"
116063,"850","2354","Balksbury Infant School","Local authority maintained schools","Primary","Does not apply","10.1","Test Valley","Outstanding"
116065,"850","2357","Petersgate Infant School","Local authority maintained schools","Primary","Does not apply","12.1","East Hampshire","Good"
116067,"850","2361","Springwood Junior School","Local authority maintained schools","Primary","Does not apply","18.7","Havant","Good"
116068,"850","2367","Fordingbridge Junior School","Local authority maintained schools","Primary","Does not apply","9.8","New Forest","Good"
116069,"850","2372","Fordingbridge Infant School","Local authority maintained schools","Primary","Does not apply","8.9","New Forest","Good"
116070,"850","2373","Netley Abbey Infant School","Local authority maintained schools","Primary","Does not apply","9.1","Eastleigh","Good"
116071,"850","2376","Greenfields Junior School","Local authority maintained schools","Primary","Does not apply","14.5","Hart","Good"
116072,"850","2377","Shakespeare Junior School","Local authority maintained schools","Primary","Does not apply","14.6","Eastleigh","Good"
116073,"850","2378","Marchwood Junior School","Local authority maintained schools","Primary","Does not apply","8.3","New Forest","Outstanding"
116074,"850","2382","Colden Common Primary School","Local authority maintained schools","Primary","Does not apply","2.9","Winchester","Good"
